Season;Season_premiere;Season_finale;TV_season;Viewers_season;Episode_most_watched;Viewers_episode
1;September 22, 1994;May 18, 1995;1994–95;24,30;The One Where Rachel Finds Out;31,30
2;September 21, 1995;May 16, 1996;1995–96;30,00;The One After the Superbowl;52,90
3;September 19, 1996;May 15, 1997;1996–97;24,90;The One Where Chandler Can't Remember Which Sister;29,80
4;September 25, 1997;May 7, 1998;1997–98;24,00;The One with Ross's Wedding;31,60
5;September 24, 1998;May 20, 1999;1998–99;23,50;The One After Ross Says Rachel;30,90
6;September 23, 1999;May 18, 2000;1999–2000;20,70;The One with the Proposal;30,70
7;October 12, 2000;May 17, 2001;2000–01;20,20;The One with Monica and Chandler's Wedding;30,10
8;September 27, 2001;May 16, 2002;2001–02;24,50;"	The One Where Rachel Has a Baby";34,90
9;September 26, 2002;May 15, 2003;2002–03;21,80;The One Where No One Proposes;34,00
10;September 25, 2003;May 6, 2004;2003–04;22,80;"	The Last One";52,50
